Variable name,"var_availability (this was calculated using the full final_dataset.csv, with all subjects)",Category of variable,Sub-category of variable,Metadata: CRFNAME,Metadata: TEXT,Key variable,
UCBERKELEYAV45_05_12_2__CTX_RH_MIDDLETEMPORAL_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-middletemporal ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PARACENTRAL_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-paracentral,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PARACENTRAL_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-paracentral ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PARAHIPPOCAMPAL_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-parahippocampal,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PARAHIPPOCAMPAL_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-parahippocampal ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PARSOPERCULARIS_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-parsopercularis,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PARSOPERCULARIS_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-parsopercularis ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PARSORBITALIS_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-parsorbitalis,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PARSORBITALIS_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-parsorbitalis ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PARSTRIANGULARIS_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-parstriangularis,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PARSTRIANGULARIS_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-parstriangularis ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PERICALCARINE_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-pericalcarine,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PERICALCARINE_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-pericalcarine ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_POSTCENTRAL_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-postcentral,1,
UCBERKELEYAV45_05_12_2__CTX_RH_POSTCENTRAL_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-postcentral ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_POSTERIORCINGULATE_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-posteriorcingulate,1,
UCBERKELEYAV45_05_12_2__CTX_RH_POSTERIORCINGULATE_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-posteriorcingulate ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PRECENTRAL_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-precentral,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PRECENTRAL_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-precentral ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PRECUNEUS_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-precuneus,1,
UCBERKELEYAV45_05_12_2__CTX_RH_PRECUNEUS_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-precuneus ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_ROSTRALANTERIORCINGULATE_SUVR,27.25677031,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-rostralanteriorcingulate,1,
UCBERKELEYAV45_05_12_2__CTX_RH_ROSTRALANTERIORCINGULATE_VOLUME,27.25677031,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-rostralanteriorcingulate ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-rostralmiddlefrontal,1,
UCBERKELEYAV45_05_12_2__CTX_RH_ROSTRALMIDDLEFRONTAL_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-rostralmiddlefrontal ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_SUPERIORFRONTAL_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-superiorfrontal,1,
UCBERKELEYAV45_05_12_2__CTX_RH_SUPERIORFRONTAL_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-superiorfrontal ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_SUPERIORPARIETAL_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-superiorparietal,1,
UCBERKELEYAV45_05_12_2__CTX_RH_SUPERIORPARIETAL_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-superiorparietal ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_SUPERIORTEMPORAL_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-superiortemporal,1,
UCBERKELEYAV45_05_12_2__CTX_RH_SUPERIORTEMPORAL_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-superiortemporal ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_SUPRAMARGINAL_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-supramarginal,1,
UCBERKELEYAV45_05_12_2__CTX_RH_SUPRAMARGINAL_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-supramarginal ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_TEMPORALPOLE_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-temporalpole,1,
UCBERKELEYAV45_05_12_2__CTX_RH_TEMPORALPOLE_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-temporalpole ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_TRANSVERSETEMPORAL_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-transversetemporal,1,
UCBERKELEYAV45_05_12_2__CTX_RH_TRANSVERSETEMPORAL_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-transversetemporal ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__CTX_RH_UNKNOWN_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-unknown,1,
UCBERKELEYAV45_05_12_2__CTX_RH_UNKNOWN_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,ctx-rh-unknown ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_ACCUMBENS_AREA_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-accumbens-area,1,
UCBERKELEYAV45_05_12_2__LEFT_ACCUMBENS_AREA_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-accumbens-area ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_AMYGDALA_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-amygdala,1,
UCBERKELEYAV45_05_12_2__LEFT_AMYGDALA_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-amygdala ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_CAUDATE_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-caudate,1,
UCBERKELEYAV45_05_12_2__LEFT_CAUDATE_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-caudate ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_CEREBELLUM_CORTEX_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-cerebellum-cortex,1,
UCBERKELEYAV45_05_12_2__LEFT_CEREBELLUM_CORTEX_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-cerebellum-cortex ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_CEREBELLUM_WHITE_MATTER_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-cerebellum-white-matter,1,
UCBERKELEYAV45_05_12_2__LEFT_CEREBELLUM_WHITE_MATTER_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-cerebellum-white-matter ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_CEREBRAL_WHITE_MATTER_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-cerebral-white-matter,1,
UCBERKELEYAV45_05_12_2__LEFT_CEREBRAL_WHITE_MATTER_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-cerebral-white-matter ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_CHOROID_PLEXUS_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-choroid-plexus,1,
UCBERKELEYAV45_05_12_2__LEFT_CHOROID_PLEXUS_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-choroid-plexus ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_HIPPOCAMPUS_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-hippocampus,1,
UCBERKELEYAV45_05_12_2__LEFT_HIPPOCAMPUS_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-hippocampus ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_INF_LAT_VENT_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-inf-lat-vent,1,
UCBERKELEYAV45_05_12_2__LEFT_INF_LAT_VENT_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-inf-lat-vent ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_LATERAL_VENTRICLE_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-lateral-ventricle,1,
UCBERKELEYAV45_05_12_2__LEFT_LATERAL_VENTRICLE_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-lateral-ventricle ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_PALLIDUM_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-pallidum,1,
UCBERKELEYAV45_05_12_2__LEFT_PALLIDUM_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-pallidum ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_PUTAMEN_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-putamen,1,
UCBERKELEYAV45_05_12_2__LEFT_PUTAMEN_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-putamen ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_THALAMUS_PROPER_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-thalamus-proper,1,
UCBERKELEYAV45_05_12_2__LEFT_THALAMUS_PROPER_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-thalamus-proper ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_VENTRALDC_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-ventraldc,1,
UCBERKELEYAV45_05_12_2__LEFT_VENTRALDC_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-ventraldc ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__LEFT_VESSEL_SUVR,27.23169509,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-vessel,1,
UCBERKELEYAV45_05_12_2__LEFT_VESSEL_VOLUME,27.23169509,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,left-vessel ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__NON_WM_HYPOINTENSITIES_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,non-wm-hypointensities,1,
UCBERKELEYAV45_05_12_2__NON_WM_HYPOINTENSITIES_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,non-wm-hypointensities ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__OPTIC_CHIASM_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,optic-chiasm,1,
UCBERKELEYAV45_05_12_2__OPTIC_CHIASM_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,optic-chiasm ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_ACCUMBENS_AREA_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-accumbens-area,1,
UCBERKELEYAV45_05_12_2__RIGHT_ACCUMBENS_AREA_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-accumbens-area ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_AMYGDALA_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-amygdala,1,
UCBERKELEYAV45_05_12_2__RIGHT_AMYGDALA_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-amygdala ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_CAUDATE_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-caudate,1,
UCBERKELEYAV45_05_12_2__RIGHT_CAUDATE_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-caudate ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_CEREBELLUM_CORTEX_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-cerebellum-cortex,1,
UCBERKELEYAV45_05_12_2__RIGHT_CEREBELLUM_CORTEX_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-cerebellum-cortex ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_CEREBELLUM_WHITE_MATTER_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-cerebellum-white-matter,1,
UCBERKELEYAV45_05_12_2__RIGHT_CEREBELLUM_WHITE_MATTER_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-cerebellum-white-matter ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_CEREBRAL_WHITE_MATTER_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-cerebral-white-matter,1,
UCBERKELEYAV45_05_12_2__RIGHT_CEREBRAL_WHITE_MATTER_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-cerebral-white-matter ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_CHOROID_PLEXUS_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-choroid-plexus,1,
UCBERKELEYAV45_05_12_2__RIGHT_CHOROID_PLEXUS_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-choroid-plexus ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_HIPPOCAMPUS_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-hippocampus,1,
UCBERKELEYAV45_05_12_2__RIGHT_HIPPOCAMPUS_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-hippocampus ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_INF_LAT_VENT_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-inf-lat-vent,1,
UCBERKELEYAV45_05_12_2__RIGHT_INF_LAT_VENT_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-inf-lat-vent ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_LATERAL_VENTRICLE_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-lateral-ventricle,1,
UCBERKELEYAV45_05_12_2__RIGHT_LATERAL_VENTRICLE_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-lateral-ventricle ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_PALLIDUM_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-pallidum,1,
UCBERKELEYAV45_05_12_2__RIGHT_PALLIDUM_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-pallidum ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_PUTAMEN_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-putamen,1,
UCBERKELEYAV45_05_12_2__RIGHT_PUTAMEN_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-putamen ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_THALAMUS_PROPER_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-thalamus-proper,1,
UCBERKELEYAV45_05_12_2__RIGHT_THALAMUS_PROPER_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-thalamus-proper ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_VENTRALDC_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-ventraldc,1,
UCBERKELEYAV45_05_12_2__RIGHT_VENTRALDC_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-ventraldc ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__RIGHT_VESSEL_SUVR,27.23169509,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-vessel,1,
UCBERKELEYAV45_05_12_2__RIGHT_VESSEL_VOLUME,27.23169509,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,right-vessel ROI size in mm^3,1,
UCBERKELEYAV45_05_12_2__WM_HYPOINTENSITIES_SUVR,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,wm-hypointensities,1,
UCBERKELEYAV45_05_12_2__WM_HYPOINTENSITIES_VOLUME,27.28184554,Imaging,Amyloid PET,UC Berkeley - AV45 analysis,wm-hypointensities ROI size in mm^3,1,
UCBERKELEYFDG_05_28_20__MEAN_CINGPOST_BL,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MEDIAN_CINGPOST_BL,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MODE_CINGPOST_BL,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MIN_CINGPOST_BL,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MAX_CINGPOST_BL,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__STDEV_CINGPOST_BL,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__NANVOX_CINGPOST_BL,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__TOTVOX_CINGPOST_BL,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MEAN_TEMP_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MEDIAN_TEMP_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MODE_TEMP_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MIN_TEMP_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MAX_TEMP_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__STDEV_TEMP_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__NANVOX_TEMP_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__TOTVOX_TEMP_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MEAN_TEMP_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MEDIAN_TEMP_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MODE_TEMP_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MIN_TEMP_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MAX_TEMP_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__STDEV_TEMP_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__NANVOX_TEMP_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__TOTVOX_TEMP_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MEAN_ANG_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MEDIAN_ANG_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MODE_ANG_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MIN_ANG_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MAX_ANG_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__STDEV_ANG_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__NANVOX_ANG_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__TOTVOX_ANG_L,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MEAN_ANG_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MEDIAN_ANG_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MODE_ANG_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MIN_ANG_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__MAX_ANG_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__STDEV_ANG_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__NANVOX_ANG_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCBERKELEYFDG_05_28_20__TOTVOX_ANG_R,37.38716148,Imaging,FDG PET,#N/A,#N/A,1,
UCSFASLFS_11_02_15_V2__ST1MIN,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Min CBF value for FreeSurfer ROI: Brain-Stem,,
UCSFASLFS_11_02_15_V2__ST1MAX,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Max CBF value for FreeSurfer ROI: Brain-Stem,,
UCSFASLFS_11_02_15_V2__ST1MD,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Median CBF value for FreeSurfer ROI: Brain-Stem,,
UCSFASLFS_11_02_15_V2__ST1AVG,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Mean CBF value for FreeSurfer ROI: Brain-Stem,,
UCSFASLFS_11_02_15_V2__ST1SD,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Standard Deviation of Mean CBF value for FreeSurfer ROI: Brain-Stem,,
UCSFASLFS_11_02_15_V2__ST1CT,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Count of CBF voxels in FreeSurfer ROI: Brain-Stem,,
UCSFASLFS_11_02_15_V2__ST2MIN,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Min CBF value for FreeSurfer ROI: CC_Anterior,,
UCSFASLFS_11_02_15_V2__ST2MAX,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Max CBF value for FreeSurfer ROI: CC_Anterior,,
UCSFASLFS_11_02_15_V2__ST2MD,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Median CBF value for FreeSurfer ROI: CC_Anterior,,
UCSFASLFS_11_02_15_V2__ST2AVG,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Mean CBF value for FreeSurfer ROI: CC_Anterior,,
UCSFASLFS_11_02_15_V2__ST2SD,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Standard Deviation of Mean CBF value for FreeSurfer ROI: CC_Anterior,,
UCSFASLFS_11_02_15_V2__ST2CT,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Count of CBF voxels in FreeSurfer ROI: CC_Anterior,,
UCSFASLFS_11_02_15_V2__ST3MIN,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Min CBF value for FreeSurfer ROI: CC_Central,,
UCSFASLFS_11_02_15_V2__ST3MAX,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Max CBF value for FreeSurfer ROI: CC_Central,,
UCSFASLFS_11_02_15_V2__ST3MD,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Median CBF value for FreeSurfer ROI: CC_Central,,
UCSFASLFS_11_02_15_V2__ST3AVG,5.391173521,Imaging,MRI - ASL,ASL Perfusion CBF by FreeSurfer ROI,Mean CBF value for FreeSurfer ROI: CC_Central,,
